#           k/h    P           
    0.42098E-02    0.85566E+04
    0.42948E-02    0.86818E+04
    0.43816E-02    0.88082E+04
    0.44701E-02    0.89353E+04
    0.45604E-02    0.90628E+04
    0.46525E-02    0.91900E+04
    0.47465E-02    0.93165E+04
    0.48424E-02    0.94420E+04
    0.49402E-02    0.95670E+04
    0.50400E-02    0.96923E+04
    0.51419E-02    0.98186E+04
    0.52457E-02    0.99464E+04
    0.53517E-02    0.10076E+05
    0.54598E-02    0.10208E+05
    0.55701E-02    0.10340E+05
    0.56826E-02    0.10473E+05
    0.57974E-02    0.10607E+05
    0.59145E-02    0.10739E+05
    0.60340E-02    0.10872E+05
    0.61559E-02    0.11004E+05
    0.62803E-02    0.11137E+05
    0.64072E-02    0.11269E+05
    0.65366E-02    0.11401E+05
    0.66686E-02    0.11532E+05
    0.68033E-02    0.11664E+05
    0.69408E-02    0.11795E+05
    0.70810E-02    0.11925E+05
    0.72240E-02    0.12055E+05
    0.73700E-02    0.12183E+05
    0.75189E-02    0.12311E+05
    0.76708E-02    0.12439E+05
    0.78257E-02    0.12565E+05
    0.79838E-02    0.12689E+05
    0.81451E-02    0.12813E+05
    0.83096E-02    0.12935E+05
    0.84775E-02    0.13056E+05
    0.86488E-02    0.13175E+05
    0.88235E-02    0.13292E+05
    0.90017E-02    0.13408E+05
    0.91836E-02    0.13521E+05
    0.93691E-02    0.13633E+05
    0.95583E-02    0.13742E+05
    0.97514E-02    0.13849E+05
    0.99484E-02    0.13953E+05
    0.10149E-01    0.14054E+05
    0.10354E-01    0.14153E+05
    0.10564E-01    0.14249E+05
    0.10777E-01    0.14342E+05
    0.10995E-01    0.14431E+05
    0.11217E-01    0.14517E+05
    0.11443E-01    0.14600E+05
    0.11675E-01    0.14678E+05
    0.11910E-01    0.14753E+05
    0.12151E-01    0.14824E+05
    0.12397E-01    0.14890E+05
    0.12647E-01    0.14953E+05
    0.12902E-01    0.15011E+05
    0.13163E-01    0.15065E+05
    0.13429E-01    0.15113E+05
    0.13700E-01    0.15156E+05
    0.13977E-01    0.15194E+05
    0.14259E-01    0.15225E+05
    0.14547E-01    0.15250E+05
    0.14841E-01    0.15271E+05
    0.15141E-01    0.15287E+05
    0.15447E-01    0.15299E+05
    0.15759E-01    0.15309E+05
    0.16077E-01    0.15315E+05
